GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",27625,517,14526,418,13099,465,30210,1184,38189,2022,23318,2212,18673,660,10643,439,8030,522,2.1,0.9,1.0,0.6,3.5,1.9,3.9,1.1,2.3,0.9,6.1,2.0,15.6,2.6,11.6,2.8,21.0,3.9,20.1,2.3,15.4,2.3,26.4,3.8,22.0,2.1,23.5,3.2,20.0,3.2,14.6,2.3,16.4,3.0,12.3,2.7,5.1,1.0,6.4,1.5,3.3,1.4,9.1,1.5,12.5,2.3,4.6,1.5,7.5,1.6,11.0,2.3,2.9,1.7,(X),(X),47710,2174,31676,1339,48368,1686,56234,2228,37941,1898,33601,1715,42254,2212,26488,1014,17285,3643,24893,4002,15105,2444,28382,2040,33823,4108,22659,3304,32378,1969,41746,3067,25674,1999,50595,5110,61019,3471,39280,8028,55806,9072,73224,18269,47300,5646,16.8,(X),(X),(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",94675,1547,50797,821,43878,1126,27207,1124,33639,2852,22094,897,58680,1631,34245,1074,24435,1014,2.3,0.7,2.3,0.8,2.3,0.8,4.3,0.8,2.8,0.8,6.5,1.3,17.4,1.7,14.2,1.8,22.0,2.8,16.9,1.5,14.5,1.7,20.2,2.3,21.2,1.6,20.7,1.9,21.9,2.5,13.4,1.2,13.4,1.5,13.4,2.0,6.3,1.2,7.2,1.6,5.0,1.3,7.6,0.8,9.0,1.2,5.7,1.0,10.6,1.0,16.0,1.6,3.1,0.9,(X),(X),45749,2203,34451,1601,53761,1749,63219,2405,40505,1584,31463,1087,39323,1760,24993,1223,18445,2810,21444,2060,12066,1550,25318,1371,30358,2238,19094,2265,30206,2068,40313,1936,23639,1598,46113,2329,63092,6641,36975,2523,54309,1895,74827,11878,50388,3954,16.8,(X),(X),(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",11170,514,6012,351,5158,269,21865,1530,26563,2244,18982,1489,6657,431,3768,359,2889,237,1.8,1.0,2.3,1.4,1.1,1.1,6.4,1.7,5.9,2.4,7.1,2.4,23.4,3.5,16.4,4.0,32.5,5.7,21.4,3.3,18.9,4.3,24.6,4.5,19.5,2.8,22.8,4.2,15.2,3.1,11.8,2.4,11.6,3.2,12.2,3.6,4.2,1.3,6.2,2.2,1.6,1.2,6.9,1.8,9.4,3.2,3.7,1.8,4.6,1.3,6.6,2.2,2.1,1.5,(X),(X),39449,3568,27299,2211,41858,2149,47698,3579,34241,2286,25591,1396,31972,2016,20743,1342,17500,5590,22715,4124,14083,3780,21659,2008,27447,6973,18923,1916,25463,3065,37359,5722,20144,2454,41996,3539,47808,7237,28984,9055,48446,9969,37794,32807,50163,2984,23.3,(X),(X),(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",9212,541,5362,388,3850,347,25718,2615,31188,1669,17622,2114,5990,540,3883,373,2107,331,1.8,1.6,2.2,2.4,1.1,1.7,7.8,3.2,6.7,3.0,9.9,6.3,18.6,4.4,11.8,3.7,31.2,9.6,21.8,4.1,24.4,5.8,17.0,6.2,22.6,3.6,22.0,4.5,23.8,8.0,14.8,3.8,19.8,5.8,5.6,3.0,4.1,2.5,2.8,1.5,6.6,6.0,4.3,2.0,6.2,3.1,0.7,0.7,4.1,1.8,4.1,2.0,4.1,3.5,(X),(X),39264,3005,30745,7373,41381,3013,44915,3507,34868,4151,28942,2537,34293,4632,19066,2148,22060,4700,31890,8601,14931,3051,27976,2474,32833,4417,16531,1904,27366,7508,38995,12646,21664,5013,31357,16018,45417,27290,18229,18870,42451,13062,40351,1911,51597,4976,23.3,(X),(X),(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",25411,728,14401,421,11010,521,30606,938,34742,2074,23880,1702,16721,730,10071,524,6650,463,2.0,0.8,1.6,1.1,2.6,1.6,4.8,1.3,3.4,1.3,6.9,2.6,15.7,1.7,12.2,2.3,20.9,3.3,20.6,2.1,19.6,2.8,22.1,3.6,23.6,2.5,23.3,3.1,24.2,3.7,16.8,2.1,18.5,3.0,14.3,2.7,7.2,1.2,8.7,1.9,5.0,1.6,4.9,1.2,6.9,1.8,1.8,0.9,4.4,1.0,5.8,1.5,2.2,1.2,(X),(X),42912,1924,33585,2094,45419,1734,50375,2652,37915,1733,33501,1510,39845,2610,26811,2214,25176,4343,30335,3289,14390,2438,29022,2898,36978,3433,22577,2606,34954,1721,42305,4577,30373,4146,47889,4751,57917,6893,39883,2522,52156,2263,52443,13158,52072,2231,15.6,(X),(X),(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",4328,390,2465,322,1863,244,22655,2160,27537,6669,19956,2513,2956,355,1689,325,1267,207,2.4,1.8,1.1,1.7,4.1,3.4,10.8,5.1,5.4,4.6,17.9,10.6,35.5,7.3,31.1,10.8,41.3,10.5,21.5,6.3,25.0,9.2,17.0,8.2,15.5,5.2,19.4,8.4,10.3,4.5,6.9,3.5,8.3,5.9,5.1,3.8,1.9,1.9,3.3,3.4,0.0,2.3,1.4,1.3,1.6,2.0,1.0,1.4,4.2,3.6,4.8,4.6,3.3,4.7,(X),(X),32123,4088,22375,2213,33988,4309,38102,6090,28504,5224,26382,3959,31159,3823,22785,2017,21181,2280,22259,3960,14583,12285,31582,5287,34470,10990,20951,3751,24643,6282,33046,4853,21492,5551,31953,8306,65156,25347,29028,2471,23750,15166,19107,10206,35139,20694,26.4,(X),(X),(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8554,288,4060,206,4494,205,24509,2044,30986,1854,19828,1480,5828,313,2795,214,3033,213,3.6,1.5,2.4,1.7,4.6,2.4,6.5,1.8,2.3,1.8,10.4,3.1,23.9,3.2,15.6,3.8,31.6,4.9,22.8,3.2,21.5,4.2,24.0,4.5,17.8,2.3,23.8,3.7,12.3,2.9,13.0,2.6,14.9,4.0,11.2,3.0,2.4,1.0,2.5,1.3,2.3,1.4,6.2,1.7,9.6,2.9,3.2,1.5,3.8,1.3,7.3,2.6,0.6,0.7,(X),(X),40445,2242,26112,1490,39370,1805,48486,3099,30969,1566,26791,1614,33263,2616,21921,1990,16967,3204,20673,8501,15575,2995,22804,2113,30000,3663,19308,1471,26949,2984,37540,4682,21630,2338,44815,7102,56190,23054,38333,10520,53258,2468,53125,5068,53291,2676,19.2,(X),(X),(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",54856,993,29097,544,25759,750,24319,1102,31130,1857,19098,1114,32374,1064,19033,752,13341,665,2.4,0.7,1.3,0.6,4.0,1.4,5.7,0.9,4.1,1.1,7.9,1.7,20.3,1.6,16.8,2.1,25.3,2.7,17.9,1.4,15.1,1.5,21.8,2.4,20.4,1.4,20.2,1.9,20.6,2.2,15.9,1.7,18.8,2.3,11.6,2.1,5.0,0.9,6.1,1.3,3.5,1.2,7.7,0.9,10.9,1.6,3.0,0.9,4.8,0.9,6.6,1.2,2.3,0.8,(X),(X),44177,2010,30435,1255,44853,1352,50820,1676,36340,1549,29220,1261,37133,1948,22672,1176,15927,1561,21750,2293,11396,1811,27477,1519,34016,2864,20515,1465,29871,2149,40037,3120,22813,1568,39202,3439,48176,5196,34409,3159,49806,2264,54647,14979,47985,2937,18.9,(X),(X),(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",14468,494,7526,352,6942,302,26609,1682,31836,1543,22431,2450,10032,446,5493,304,4539,332,2.9,1.0,2.2,1.3,3.6,1.7,6.3,1.7,6.4,2.0,6.1,2.4,21.2,3.0,17.2,3.1,26.0,5.1,21.2,3.3,17.9,4.0,25.2,4.5,22.1,2.8,22.3,3.3,21.8,4.0,11.3,1.9,14.9,3.1,7.1,2.5,5.2,1.3,6.5,2.3,3.7,1.8,5.7,1.4,6.6,2.2,4.6,1.9,4.2,1.3,6.0,2.0,2.1,1.3,(X),(X),37783,4575,30492,1524,46068,4091,54718,7176,35600,2336,29249,2386,33104,1507,25044,2266,20843,1382,26678,10413,16375,1985,23436,2202,30424,2952,20721,1197,30601,1510,34760,4966,29379,2104,49537,7430,60060,21950,43125,6014,51987,6217,61131,8520,46957,8660,18.2,(X),(X),(X),(X),(X)
