GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",2792,386,2195,327,576,180,0,11,0,11,0,11,0,11,21,23,0,11,21,23
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",2299,357,975,272,1282,317,0,11,0,11,0,11,0,11,42,44,0,11,42,44
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",5113,435,1162,264,3776,396,0,11,0,11,0,11,0,11,175,139,10,16,165,139
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",1640,251,42,36,1508,262,0,11,0,11,0,11,0,11,90,76,0,11,90,76
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",2882,385,392,299,2473,320,0,11,0,11,0,11,0,11,17,27,0,11,17,27
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",2239,257,20,20,2208,261,0,11,0,11,0,11,0,11,11,10,0,11,11,10
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",2057,262,34,31,1998,271,0,11,0,11,0,11,0,11,25,28,0,11,25,28
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",2631,517,76,75,2422,521,0,11,0,11,0,11,0,11,133,109,14,22,119,99
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",3316,359,87,65,3148,347,0,11,15,18,0,11,0,11,66,66,0,11,66,66
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",2970,383,47,39,2873,390,0,11,0,11,0,11,0,11,50,48,20,34,30,33
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",2507,224,7,11,2485,224,6,10,0,11,0,11,9,16,0,11,0,11,0,11
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",2831,409,111,101,2693,381,0,11,0,11,0,11,0,11,27,34,0,11,27,34
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",2459,304,292,117,2167,296,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",2126,318,109,93,1967,303,0,11,2,4,0,11,0,11,48,43,0,11,48,43
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",1540,206,72,76,1386,222,0,11,0,11,0,11,11,13,71,49,7,11,64,49
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",2246,343,1680,325,538,169,0,11,0,11,0,11,0,11,28,23,0,11,28,23
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",2614,271,1665,199,817,199,4,7,1,4,0,11,0,11,127,74,4,7,123,70
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",5175,524,196,162,4596,586,0,11,0,11,0,11,0,11,383,316,0,11,383,316
1400000US21111002700,21111002700,"Census Tract 27, Jefferson County, Kentucky",2841,340,214,79,2436,313,0,11,11,21,0,11,0,11,180,127,0,11,180,127
1400000US21111002800,21111002800,"Census Tract 28, Jefferson County, Kentucky",1716,266,293,114,1363,225,0,11,0,11,0,11,0,11,60,50,0,11,60,50
1400000US21111003000,21111003000,"Census Tract 30, Jefferson County, Kentucky",3371,351,236,102,3033,333,0,11,0,11,0,11,0,11,102,86,0,11,102,86
1400000US21111003500,21111003500,"Census Tract 35, Jefferson County, Kentucky",4778,1139,2163,829,2409,497,0,11,7,10,0,11,25,39,174,155,5,11,169,156
1400000US21111003600,21111003600,"Census Tract 36, Jefferson County, Kentucky",5631,665,2864,598,2672,706,20,33,17,28,0,16,0,16,58,57,0,16,58,57
1400000US21111003700,21111003700,"Census Tract 37, Jefferson County, Kentucky",1686,194,1008,189,558,156,0,11,23,38,30,44,0,11,67,50,0,11,67,50
1400000US21111003800,21111003800,"Census Tract 38, Jefferson County, Kentucky",3502,437,2394,378,707,258,0,11,27,32,43,74,27,31,304,188,48,59,256,181
1400000US21111003900,21111003900,"Census Tract 39, Jefferson County, Kentucky",3873,475,2409,384,1299,294,29,44,49,60,0,11,0,11,87,96,0,11,87,96
1400000US21111004000,21111004000,"Census Tract 40, Jefferson County, Kentucky",1820,240,1386,213,363,156,0,11,0,11,0,11,0,11,71,96,0,11,71,96
