GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109,HD01_VD110,HD02_VD110,HD01_VD111,HD02_VD111,HD01_VD112,HD02_VD112,HD01_VD113,HD02_VD113,HD01_VD114,HD02_VD114,HD01_VD115,HD02_VD115,HD01_VD116,HD02_VD116,HD01_VD117,HD02_VD117,HD01_VD118,HD02_VD118,HD01_VD119,HD02_VD119,HD01_VD120,HD02_VD120,HD01_VD121,HD02_VD121,HD01_VD122,HD02_VD122,HD01_VD123,HD02_VD123,HD01_VD124,HD02_VD124,HD01_VD125,HD02_VD125,HD01_VD126,HD02_VD126,HD01_VD127,HD02_VD127,HD01_VD128,HD02_VD128,HD01_VD129,HD02_VD129,HD01_VD130,HD02_VD130,HD01_VD131,HD02_VD131
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 6 years:,Margin of Error; Under 6 years:,Estimate; Under 6 years: - Under .50,Margin of Error; Under 6 years: - Under .50,Estimate; Under 6 years: - .50 to .74,Margin of Error; Under 6 years: - .50 to .74,Estimate; Under 6 years: - .75 to .99,Margin of Error; Under 6 years: - .75 to .99,Estimate; Under 6 years: - 1.00 to 1.24,Margin of Error; Under 6 years: - 1.00 to 1.24,Estimate; Under 6 years: - 1.25 to 1.49,Margin of Error; Under 6 years: - 1.25 to 1.49,Estimate; Under 6 years: - 1.50 to 1.74,Margin of Error; Under 6 years: - 1.50 to 1.74,Estimate; Under 6 years: - 1.75 to 1.84,Margin of Error; Under 6 years: - 1.75 to 1.84,Estimate; Under 6 years: - 1.85 to 1.99,Margin of Error; Under 6 years: - 1.85 to 1.99,Estimate; Under 6 years: - 2.00 to 2.99,Margin of Error; Under 6 years: - 2.00 to 2.99,Estimate; Under 6 years: - 3.00 to 3.99,Margin of Error; Under 6 years: - 3.00 to 3.99,Estimate; Under 6 years: - 4.00 to 4.99,Margin of Error; Under 6 years: - 4.00 to 4.99,Estimate; Under 6 years: - 5.00 and over,Margin of Error; Under 6 years: - 5.00 and over,Estimate; 6 to 11 years:,Margin of Error; 6 to 11 years:,Estimate; 6 to 11 years: - Under .50,Margin of Error; 6 to 11 years: - Under .50,Estimate; 6 to 11 years: - .50 to .74,Margin of Error; 6 to 11 years: - .50 to .74,Estimate; 6 to 11 years: - .75 to .99,Margin of Error; 6 to 11 years: - .75 to .99,Estimate; 6 to 11 years: - 1.00 to 1.24,Margin of Error; 6 to 11 years: - 1.00 to 1.24,Estimate; 6 to 11 years: - 1.25 to 1.49,Margin of Error; 6 to 11 years: - 1.25 to 1.49,Estimate; 6 to 11 years: - 1.50 to 1.74,Margin of Error; 6 to 11 years: - 1.50 to 1.74,Estimate; 6 to 11 years: - 1.75 to 1.84,Margin of Error; 6 to 11 years: - 1.75 to 1.84,Estimate; 6 to 11 years: - 1.85 to 1.99,Margin of Error; 6 to 11 years: - 1.85 to 1.99,Estimate; 6 to 11 years: - 2.00 to 2.99,Margin of Error; 6 to 11 years: - 2.00 to 2.99,Estimate; 6 to 11 years: - 3.00 to 3.99,Margin of Error; 6 to 11 years: - 3.00 to 3.99,Estimate; 6 to 11 years: - 4.00 to 4.99,Margin of Error; 6 to 11 years: - 4.00 to 4.99,Estimate; 6 to 11 years: - 5.00 and over,Margin of Error; 6 to 11 years: - 5.00 and over,Estimate; 12 to 17 years:,Margin of Error; 12 to 17 years:,Estimate; 12 to 17 years: - Under .50,Margin of Error; 12 to 17 years: - Under .50,Estimate; 12 to 17 years: - .50 to .74,Margin of Error; 12 to 17 years: - .50 to .74,Estimate; 12 to 17 years: - .75 to .99,Margin of Error; 12 to 17 years: - .75 to .99,Estimate; 12 to 17 years: - 1.00 to 1.24,Margin of Error; 12 to 17 years: - 1.00 to 1.24,Estimate; 12 to 17 years: - 1.25 to 1.49,Margin of Error; 12 to 17 years: - 1.25 to 1.49,Estimate; 12 to 17 years: - 1.50 to 1.74,Margin of Error; 12 to 17 years: - 1.50 to 1.74,Estimate; 12 to 17 years: - 1.75 to 1.84,Margin of Error; 12 to 17 years: - 1.75 to 1.84,Estimate; 12 to 17 years: - 1.85 to 1.99,Margin of Error; 12 to 17 years: - 1.85 to 1.99,Estimate; 12 to 17 years: - 2.00 to 2.99,Margin of Error; 12 to 17 years: - 2.00 to 2.99,Estimate; 12 to 17 years: - 3.00 to 3.99,Margin of Error; 12 to 17 years: - 3.00 to 3.99,Estimate; 12 to 17 years: - 4.00 to 4.99,Margin of Error; 12 to 17 years: - 4.00 to 4.99,Estimate; 12 to 17 years: - 5.00 and over,Margin of Error; 12 to 17 years: - 5.00 and over,Estimate; 18 to 24 years:,Margin of Error; 18 to 24 years:,Estimate; 18 to 24 years: - Under .50,Margin of Error; 18 to 24 years: - Under .50,Estimate; 18 to 24 years: - .50 to .74,Margin of Error; 18 to 24 years: - .50 to .74,Estimate; 18 to 24 years: - .75 to .99,Margin of Error; 18 to 24 years: - .75 to .99,Estimate; 18 to 24 years: - 1.00 to 1.24,Margin of Error; 18 to 24 years: - 1.00 to 1.24,Estimate; 18 to 24 years: - 1.25 to 1.49,Margin of Error; 18 to 24 years: - 1.25 to 1.49,Estimate; 18 to 24 years: - 1.50 to 1.74,Margin of Error; 18 to 24 years: - 1.50 to 1.74,Estimate; 18 to 24 years: - 1.75 to 1.84,Margin of Error; 18 to 24 years: - 1.75 to 1.84,Estimate; 18 to 24 years: - 1.85 to 1.99,Margin of Error; 18 to 24 years: - 1.85 to 1.99,Estimate; 18 to 24 years: - 2.00 to 2.99,Margin of Error; 18 to 24 years: - 2.00 to 2.99,Estimate; 18 to 24 years: - 3.00 to 3.99,Margin of Error; 18 to 24 years: - 3.00 to 3.99,Estimate; 18 to 24 years: - 4.00 to 4.99,Margin of Error; 18 to 24 years: - 4.00 to 4.99,Estimate; 18 to 24 years: - 5.00 and over,Margin of Error; 18 to 24 years: - 5.00 and over,Estimate; 25 to 34 years:,Margin of Error; 25 to 34 years:,Estimate; 25 to 34 years: - Under .50,Margin of Error; 25 to 34 years: - Under .50,Estimate; 25 to 34 years: - .50 to .74,Margin of Error; 25 to 34 years: - .50 to .74,Estimate; 25 to 34 years: - .75 to .99,Margin of Error; 25 to 34 years: - .75 to .99,Estimate; 25 to 34 years: - 1.00 to 1.24,Margin of Error; 25 to 34 years: - 1.00 to 1.24,Estimate; 25 to 34 years: - 1.25 to 1.49,Margin of Error; 25 to 34 years: - 1.25 to 1.49,Estimate; 25 to 34 years: - 1.50 to 1.74,Margin of Error; 25 to 34 years: - 1.50 to 1.74,Estimate; 25 to 34 years: - 1.75 to 1.84,Margin of Error; 25 to 34 years: - 1.75 to 1.84,Estimate; 25 to 34 years: - 1.85 to 1.99,Margin of Error; 25 to 34 years: - 1.85 to 1.99,Estimate; 25 to 34 years: - 2.00 to 2.99,Margin of Error; 25 to 34 years: - 2.00 to 2.99,Estimate; 25 to 34 years: - 3.00 to 3.99,Margin of Error; 25 to 34 years: - 3.00 to 3.99,Estimate; 25 to 34 years: - 4.00 to 4.99,Margin of Error; 25 to 34 years: - 4.00 to 4.99,Estimate; 25 to 34 years: - 5.00 and over,Margin of Error; 25 to 34 years: - 5.00 and over,Estimate; 35 to 44 years:,Margin of Error; 35 to 44 years:,Estimate; 35 to 44 years: - Under .50,Margin of Error; 35 to 44 years: - Under .50,Estimate; 35 to 44 years: - .50 to .74,Margin of Error; 35 to 44 years: - .50 to .74,Estimate; 35 to 44 years: - .75 to .99,Margin of Error; 35 to 44 years: - .75 to .99,Estimate; 35 to 44 years: - 1.00 to 1.24,Margin of Error; 35 to 44 years: - 1.00 to 1.24,Estimate; 35 to 44 years: - 1.25 to 1.49,Margin of Error; 35 to 44 years: - 1.25 to 1.49,Estimate; 35 to 44 years: - 1.50 to 1.74,Margin of Error; 35 to 44 years: - 1.50 to 1.74,Estimate; 35 to 44 years: - 1.75 to 1.84,Margin of Error; 35 to 44 years: - 1.75 to 1.84,Estimate; 35 to 44 years: - 1.85 to 1.99,Margin of Error; 35 to 44 years: - 1.85 to 1.99,Estimate; 35 to 44 years: - 2.00 to 2.99,Margin of Error; 35 to 44 years: - 2.00 to 2.99,Estimate; 35 to 44 years: - 3.00 to 3.99,Margin of Error; 35 to 44 years: - 3.00 to 3.99,Estimate; 35 to 44 years: - 4.00 to 4.99,Margin of Error; 35 to 44 years: - 4.00 to 4.99,Estimate; 35 to 44 years: - 5.00 and over,Margin of Error; 35 to 44 years: - 5.00 and over,Estimate; 45 to 54 years:,Margin of Error; 45 to 54 years:,Estimate; 45 to 54 years: - Under .50,Margin of Error; 45 to 54 years: - Under .50,Estimate; 45 to 54 years: - .50 to .74,Margin of Error; 45 to 54 years: - .50 to .74,Estimate; 45 to 54 years: - .75 to .99,Margin of Error; 45 to 54 years: - .75 to .99,Estimate; 45 to 54 years: - 1.00 to 1.24,Margin of Error; 45 to 54 years: - 1.00 to 1.24,Estimate; 45 to 54 years: - 1.25 to 1.49,Margin of Error; 45 to 54 years: - 1.25 to 1.49,Estimate; 45 to 54 years: - 1.50 to 1.74,Margin of Error; 45 to 54 years: - 1.50 to 1.74,Estimate; 45 to 54 years: - 1.75 to 1.84,Margin of Error; 45 to 54 years: - 1.75 to 1.84,Estimate; 45 to 54 years: - 1.85 to 1.99,Margin of Error; 45 to 54 years: - 1.85 to 1.99,Estimate; 45 to 54 years: - 2.00 to 2.99,Margin of Error; 45 to 54 years: - 2.00 to 2.99,Estimate; 45 to 54 years: - 3.00 to 3.99,Margin of Error; 45 to 54 years: - 3.00 to 3.99,Estimate; 45 to 54 years: - 4.00 to 4.99,Margin of Error; 45 to 54 years: - 4.00 to 4.99,Estimate; 45 to 54 years: - 5.00 and over,Margin of Error; 45 to 54 years: - 5.00 and over,Estimate; 55 to 64 years:,Margin of Error; 55 to 64 years:,Estimate; 55 to 64 years: - Under .50,Margin of Error; 55 to 64 years: - Under .50,Estimate; 55 to 64 years: - .50 to .74,Margin of Error; 55 to 64 years: - .50 to .74,Estimate; 55 to 64 years: - .75 to .99,Margin of Error; 55 to 64 years: - .75 to .99,Estimate; 55 to 64 years: - 1.00 to 1.24,Margin of Error; 55 to 64 years: - 1.00 to 1.24,Estimate; 55 to 64 years: - 1.25 to 1.49,Margin of Error; 55 to 64 years: - 1.25 to 1.49,Estimate; 55 to 64 years: - 1.50 to 1.74,Margin of Error; 55 to 64 years: - 1.50 to 1.74,Estimate; 55 to 64 years: - 1.75 to 1.84,Margin of Error; 55 to 64 years: - 1.75 to 1.84,Estimate; 55 to 64 years: - 1.85 to 1.99,Margin of Error; 55 to 64 years: - 1.85 to 1.99,Estimate; 55 to 64 years: - 2.00 to 2.99,Margin of Error; 55 to 64 years: - 2.00 to 2.99,Estimate; 55 to 64 years: - 3.00 to 3.99,Margin of Error; 55 to 64 years: - 3.00 to 3.99,Estimate; 55 to 64 years: - 4.00 to 4.99,Margin of Error; 55 to 64 years: - 4.00 to 4.99,Estimate; 55 to 64 years: - 5.00 and over,Margin of Error; 55 to 64 years: - 5.00 and over,Estimate; 65 to 74 years:,Margin of Error; 65 to 74 years:,Estimate; 65 to 74 years: - Under .50,Margin of Error; 65 to 74 years: - Under .50,Estimate; 65 to 74 years: - .50 to .74,Margin of Error; 65 to 74 years: - .50 to .74,Estimate; 65 to 74 years: - .75 to .99,Margin of Error; 65 to 74 years: - .75 to .99,Estimate; 65 to 74 years: - 1.00 to 1.24,Margin of Error; 65 to 74 years: - 1.00 to 1.24,Estimate; 65 to 74 years: - 1.25 to 1.49,Margin of Error; 65 to 74 years: - 1.25 to 1.49,Estimate; 65 to 74 years: - 1.50 to 1.74,Margin of Error; 65 to 74 years: - 1.50 to 1.74,Estimate; 65 to 74 years: - 1.75 to 1.84,Margin of Error; 65 to 74 years: - 1.75 to 1.84,Estimate; 65 to 74 years: - 1.85 to 1.99,Margin of Error; 65 to 74 years: - 1.85 to 1.99,Estimate; 65 to 74 years: - 2.00 to 2.99,Margin of Error; 65 to 74 years: - 2.00 to 2.99,Estimate; 65 to 74 years: - 3.00 to 3.99,Margin of Error; 65 to 74 years: - 3.00 to 3.99,Estimate; 65 to 74 years: - 4.00 to 4.99,Margin of Error; 65 to 74 years: - 4.00 to 4.99,Estimate; 65 to 74 years: - 5.00 and over,Margin of Error; 65 to 74 years: - 5.00 and over,Estimate; 75 years and over:,Margin of Error; 75 years and over:,Estimate; 75 years and over: - Under .50,Margin of Error; 75 years and over: - Under .50,Estimate; 75 years and over: - .50 to .74,Margin of Error; 75 years and over: - .50 to .74,Estimate; 75 years and over: - .75 to .99,Margin of Error; 75 years and over: - .75 to .99,Estimate; 75 years and over: - 1.00 to 1.24,Margin of Error; 75 years and over: - 1.00 to 1.24,Estimate; 75 years and over: - 1.25 to 1.49,Margin of Error; 75 years and over: - 1.25 to 1.49,Estimate; 75 years and over: - 1.50 to 1.74,Margin of Error; 75 years and over: - 1.50 to 1.74,Estimate; 75 years and over: - 1.75 to 1.84,Margin of Error; 75 years and over: - 1.75 to 1.84,Estimate; 75 years and over: - 1.85 to 1.99,Margin of Error; 75 years and over: - 1.85 to 1.99,Estimate; 75 years and over: - 2.00 to 2.99,Margin of Error; 75 years and over: - 2.00 to 2.99,Estimate; 75 years and over: - 3.00 to 3.99,Margin of Error; 75 years and over: - 3.00 to 3.99,Estimate; 75 years and over: - 4.00 to 4.99,Margin of Error; 75 years and over: - 4.00 to 4.99,Estimate; 75 years and over: - 5.00 and over,Margin of Error; 75 years and over: - 5.00 and over
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",2561,385,331,203,192,181,61,96,5,9,30,43,17,23,9,19,0,11,6,14,11,17,0,11,0,11,0,11,218,100,56,59,30,48,5,9,26,39,0,11,41,50,55,52,5,13,0,11,0,11,0,11,0,11,235,121,70,54,26,33,0,11,0,11,73,84,33,44,0,11,0,11,33,26,0,11,0,11,0,11,209,115,95,75,13,27,17,29,0,11,13,20,11,20,0,11,7,17,53,58,0,11,0,11,0,11,315,121,26,30,125,93,15,21,27,40,17,29,31,40,0,11,17,30,47,53,0,11,10,14,0,11,407,130,65,59,33,40,5,10,0,11,50,77,38,36,53,50,11,27,127,81,11,18,0,11,14,25,354,110,94,72,42,42,23,33,0,11,51,48,9,17,31,39,33,31,36,35,23,23,7,13,5,9,249,71,0,11,39,38,7,13,0,11,34,31,8,14,0,11,0,11,106,74,21,23,14,22,20,22,174,69,0,11,38,37,10,15,0,11,26,29,33,45,0,11,9,15,33,29,8,12,7,12,10,18,69,43,1,2,0,11,11,19,22,24,11,16,12,19,0,11,0,11,0,11,12,21,0,11,0,11
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",2299,357,130,76,46,45,44,44,11,16,7,29,12,19,0,11,0,11,0,11,10,17,0,11,0,11,0,11,140,113,31,29,75,110,0,11,19,30,10,17,0,11,0,11,0,11,0,11,5,9,0,11,0,11,150,95,30,30,0,11,17,29,12,18,0,11,11,19,8,14,0,11,72,72,0,11,0,11,0,11,208,90,62,51,37,32,34,41,10,22,0,11,36,48,0,11,0,11,20,24,9,13,0,11,0,11,280,129,30,27,7,13,10,16,73,62,40,43,14,18,66,70,0,11,33,34,7,11,0,11,0,11,279,138,37,31,104,87,12,19,0,11,27,42,61,89,0,11,0,11,31,37,7,12,0,11,0,11,461,113,79,51,28,25,0,11,8,17,5,9,66,52,66,63,0,11,151,72,37,39,7,12,14,16,398,93,13,19,36,41,0,11,48,41,42,47,55,51,7,13,0,11,99,79,29,28,36,44,33,23,139,68,2,6,5,9,15,19,0,11,0,11,50,55,4,8,0,11,21,20,36,41,0,11,6,10,114,63,0,11,0,11,0,11,0,11,0,11,0,11,49,68,0,11,41,37,13,16,5,9,6,10
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",5109,436,330,140,139,97,23,24,62,99,0,11,0,11,13,19,0,11,0,11,39,36,22,26,0,11,32,44,474,121,82,64,40,43,28,34,8,13,51,60,87,82,23,29,6,11,104,61,25,30,0,11,20,30,442,121,49,32,13,22,35,38,49,60,60,78,86,82,8,17,14,22,93,59,26,27,9,13,0,11,470,141,7,13,62,62,35,39,20,28,0,11,8,13,0,11,0,11,175,113,48,55,13,19,102,108,530,157,92,62,57,53,21,32,35,36,0,11,86,86,0,11,6,11,44,36,77,58,60,76,52,57,641,147,74,52,6,11,48,37,20,29,36,42,35,30,21,29,28,36,160,92,104,66,39,41,70,57,799,175,52,42,121,74,7,11,17,21,18,29,131,106,8,12,31,40,225,111,79,48,53,44,57,58,663,198,105,49,51,44,14,17,49,47,58,65,24,37,8,12,0,11,116,70,100,66,8,13,130,80,392,101,5,9,16,18,24,21,8,11,6,11,8,11,0,11,0,11,93,62,108,72,37,33,87,104,368,97,0,11,27,22,47,45,32,27,39,40,9,13,14,16,0,11,82,42,32,26,44,43,42,33
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",1613,254,187,78,29,33,24,34,42,36,25,23,8,13,19,20,0,11,30,47,10,17,0,11,0,11,0,11,146,60,42,39,24,34,21,19,24,20,0,11,16,18,0,11,0,11,10,15,0,11,6,9,3,4,216,104,33,29,108,92,32,26,9,16,0,11,4,6,18,29,8,8,0,11,0,11,4,7,0,11,153,64,25,23,5,8,44,41,17,20,0,11,20,27,0,11,14,21,11,17,17,20,0,11,0,11,172,67,29,22,25,39,14,16,12,14,19,19,7,11,11,16,4,7,23,29,23,29,5,8,0,11,180,80,15,14,56,67,37,30,16,16,0,11,20,24,0,11,0,11,15,22,10,14,8,9,3,4,229,89,18,24,55,48,15,19,4,7,31,34,0,11,0,11,3,5,51,33,17,22,3,5,32,34,176,66,10,10,13,21,9,9,13,13,20,23,20,22,0,11,13,20,35,33,17,22,13,15,13,20,82,32,4,7,4,6,3,5,0,11,7,10,16,19,0,11,0,11,18,17,30,21,0,11,0,11,72,31,4,6,2,3,8,9,8,10,14,16,3,5,0,11,9,14,7,8,17,15,0,11,0,11
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",2881,385,273,115,124,78,10,17,34,40,20,32,53,78,0,11,0,11,0,11,8,16,24,36,0,11,0,11,228,100,118,79,0,11,33,38,20,32,0,11,4,7,11,19,0,11,42,49,0,11,0,11,0,11,299,103,115,69,0,11,8,13,58,68,0,11,15,30,22,38,0,11,19,24,35,51,0,11,27,37,123,62,30,33,29,35,9,14,0,11,0,11,12,23,0,11,12,19,10,20,1,7,20,32,0,11,539,179,177,89,0,11,45,48,22,32,78,82,5,8,13,21,0,11,80,63,85,74,21,32,13,20,437,131,108,70,0,11,63,59,16,20,49,44,33,41,0,11,0,11,75,65,14,22,50,49,29,39,424,113,31,35,8,13,18,27,0,11,29,32,0,11,0,11,11,17,113,68,59,57,48,53,107,87,323,97,46,39,16,17,0,11,12,19,0,11,20,21,15,24,31,50,48,38,50,40,26,32,59,41,126,51,0,11,0,11,7,11,0,11,25,23,0,11,0,11,6,9,67,47,0,11,0,11,21,31,109,51,15,17,0,11,0,11,6,9,13,16,8,12,0,11,37,36,12,18,0,11,18,29,0,11
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",2239,257,91,42,0,11,0,11,13,20,11,21,0,11,31,22,0,11,0,11,9,15,27,32,0,11,0,11,155,46,37,46,0,11,7,15,29,42,4,8,53,41,0,11,0,11,17,19,0,11,8,12,0,11,284,80,90,64,0,11,46,47,49,50,4,7,29,24,0,11,0,11,34,30,6,9,5,8,21,24,232,96,66,67,22,34,23,23,24,28,57,44,0,11,0,11,0,11,10,15,6,11,6,10,18,26,138,54,4,7,0,11,16,19,4,7,12,18,30,23,0,11,0,11,40,37,24,28,0,11,8,14,360,103,50,27,0,11,20,22,25,38,4,7,30,38,0,11,0,11,80,58,28,33,25,25,98,74,327,84,10,16,43,36,25,23,49,35,22,25,12,14,0,11,6,9,40,29,46,34,12,14,62,52,321,88,11,12,2,5,10,14,53,56,15,15,55,45,0,11,4,6,69,48,38,33,22,16,42,52,110,43,0,11,6,9,0,11,15,18,22,20,8,13,0,11,0,11,49,28,10,17,0,11,0,11,221,67,14,16,15,23,5,8,5,8,41,38,49,52,0,11,3,6,53,36,13,14,23,23,0,11
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",2057,262,136,81,28,31,13,20,18,29,18,30,0,11,0,11,0,11,0,11,59,66,0,11,0,11,0,11,170,142,11,17,6,9,0,11,74,84,0,11,0,11,0,11,0,11,79,118,0,11,0,11,0,11,149,69,6,8,21,33,5,8,51,57,14,21,0,11,0,11,0,11,24,30,28,32,0,11,0,11,174,104,6,9,0,11,0,11,14,21,32,40,0,11,0,11,0,11,45,69,55,68,0,11,22,33,243,100,31,31,28,35,33,38,47,55,16,26,0,11,0,11,8,13,40,62,23,16,9,13,8,11,99,58,0,11,8,12,0,11,35,38,15,16,0,11,12,19,0,11,29,34,0,11,0,11,0,11,401,121,19,19,24,29,22,26,23,26,27,25,0,11,0,11,7,11,113,86,70,70,38,36,58,62,377,97,59,34,17,14,24,28,70,48,31,35,0,11,5,9,5,9,51,40,77,57,22,26,16,18,148,70,0,11,10,12,25,27,12,12,9,15,15,25,0,11,0,11,40,49,25,23,0,11,12,17,160,64,15,18,0,11,33,33,23,20,27,27,0,11,0,11,12,13,25,21,16,15,9,15,0,11
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",2596,505,376,185,128,118,81,71,0,11,71,108,78,116,0,11,0,11,0,11,0,11,0,11,18,29,0,11,415,138,97,74,107,75,14,27,45,44,75,112,24,40,0,11,0,11,53,46,0,11,0,11,0,11,209,102,101,89,52,63,0,11,23,35,0,11,0,11,25,33,0,11,8,16,0,11,0,11,0,11,188,113,83,79,55,60,0,11,0,11,0,11,3,22,0,11,0,11,35,33,12,18,0,11,0,11,322,144,68,62,0,11,0,11,47,48,85,87,26,43,9,16,0,11,59,52,10,15,18,28,0,11,324,109,67,68,32,52,34,55,21,30,0,11,2,12,0,11,15,22,107,76,22,34,17,27,7,14,232,94,28,40,45,48,18,32,32,49,38,43,1,9,0,11,12,19,22,26,8,13,28,42,0,11,360,119,30,25,40,39,11,15,85,83,20,29,0,11,31,31,24,32,59,48,41,46,12,18,7,12,87,44,0,11,0,11,25,21,0,11,17,21,1,7,5,10,7,13,26,24,6,10,0,11,0,11,83,51,0,11,0,11,8,16,48,46,0,11,0,11,0,11,0,11,26,34,1,8,0,11,0,11
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",3316,359,223,89,28,38,0,11,59,51,0,11,54,54,11,17,0,11,11,18,38,36,0,11,0,11,22,29,244,105,13,17,5,12,39,61,16,20,62,88,12,20,0,11,0,11,87,65,10,15,0,11,0,11,302,108,29,38,22,29,15,22,66,61,31,29,0,11,0,11,0,11,66,77,36,41,26,41,11,18,265,86,9,13,12,19,35,32,14,22,19,29,31,46,0,11,0,11,49,46,12,19,30,43,54,57,378,126,5,9,14,21,27,28,0,11,44,48,43,56,7,12,35,40,91,83,64,56,14,22,34,39,382,113,32,39,19,24,55,59,25,24,27,31,16,25,0,11,0,11,99,72,18,21,37,36,54,49,576,151,48,46,22,23,44,35,10,16,52,47,24,28,9,13,12,18,67,69,118,97,41,40,129,101,496,112,66,52,85,68,57,44,21,35,12,19,18,22,8,12,0,11,89,60,61,60,50,41,29,19,252,77,0,11,2,6,15,12,16,17,29,35,0,11,20,31,0,11,69,45,65,48,10,17,26,22,198,49,0,11,0,11,36,26,0,11,7,11,34,24,24,22,7,12,27,22,26,29,8,13,29,24
