GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Margin of Error; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian:,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian:,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Estimate; High school graduate (includes equivalency): - Not in labor force,Margin of Error; High school graduate (includes equivalency): - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",1495,200,403,114,78,50,0,11,78,50,49,42,29,32,325,103,597,149,247,100,0,11,247,100,168,83,79,52,350,110,467,150,318,128,0,11,318,128,298,120,20,28,149,74,28,22,22,20,0,11,22,20,22,20,0,11,6,10
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",1418,201,397,120,201,92,0,11,201,92,142,72,59,59,196,85,506,116,326,110,0,11,326,110,294,102,32,35,180,69,464,130,331,113,0,11,331,113,274,107,57,30,133,80,51,54,0,11,0,11,0,11,0,11,0,11,51,54
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",2633,252,438,136,205,93,0,11,205,93,97,57,108,69,233,98,1102,209,778,162,0,11,778,162,673,154,105,54,324,114,849,142,733,138,0,11,733,138,634,134,99,60,116,58,244,109,233,100,0,11,233,100,233,100,0,11,11,18
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",757,131,170,84,95,62,0,11,95,62,68,55,27,26,75,46,276,75,215,65,0,11,215,65,177,61,38,33,61,35,267,81,211,70,0,11,211,70,127,63,84,37,56,45,44,29,40,27,0,11,40,27,28,22,12,14,4,7
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1723,264,305,148,173,109,0,11,173,109,152,101,21,32,132,88,666,191,460,177,0,11,460,177,310,120,150,105,206,85,582,173,426,144,0,11,426,144,380,135,46,46,156,83,170,92,142,76,0,11,142,76,118,67,24,38,28,30
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",1146,155,87,44,60,45,0,11,60,45,11,17,49,40,27,22,487,139,404,134,0,11,404,134,315,138,89,51,83,41,427,108,342,96,0,11,342,96,294,86,48,36,85,54,145,59,126,58,0,11,126,58,126,58,0,11,19,17
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",1120,137,120,63,103,60,0,11,103,60,49,44,54,42,17,15,398,114,284,86,0,11,284,86,204,80,80,40,114,72,469,106,351,106,0,11,351,106,247,86,104,85,118,49,133,62,123,60,0,11,123,60,123,60,0,11,10,16
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",1238,208,194,114,137,85,0,11,137,85,114,79,23,36,57,75,466,136,299,99,0,11,299,99,287,98,12,19,167,102,424,138,301,131,0,11,301,131,229,112,72,71,123,59,154,93,120,89,0,11,120,89,119,89,1,9,34,33
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1832,256,157,66,46,37,0,11,46,37,30,29,16,24,111,54,607,136,372,113,0,11,372,113,286,123,86,52,235,105,719,166,531,142,0,11,531,142,474,129,57,40,188,109,349,138,319,133,0,11,319,133,294,123,25,40,30,25
