GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",970,164,532,155,438,111,17115,7599,19300,9460,13889,9413,422,98,256,84,166,65,8.3,7.4,6.3,7.6,11.4,13.9,6.6,6.4,10.9,10.5,0.0,16.5,12.6,9.9,12.1,14.9,13.3,13.6,39.8,13.9,29.3,18.9,56.0,19.5,25.8,12.9,37.9,20.3,7.2,9.1,5.7,5.3,1.6,3.8,12.0,11.4,1.2,2.2,2.0,3.7,0.0,16.5,0.0,6.9,0.0,11.0,0.0,16.5,0.0,6.9,0.0,11.0,0.0,16.5,(X),(X),33721,5274,28939,1030,29921,2827,29667,3740,30313,4919,22348,5642,25078,9404,21250,8860,7768,14310,8929,26984,-,**,21768,4265,24125,5820,20787,10211,25714,16822,34018,39604,24107,15740,29028,5013,-,**,-,**,-,**,-,**,-,**,11.5,(X),(X),(X),(X),(X)
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",932,205,421,134,511,128,16333,1717,15750,9673,16363,1943,454,121,188,85,266,97,10.1,10.1,5.3,8.2,13.5,15.7,8.8,8.7,18.1,21.1,2.3,4.4,42.3,14.4,23.9,24.2,55.3,19.7,15.2,8.3,13.3,12.5,16.5,10.7,17.2,11.1,27.1,22.4,10.2,12.4,1.3,2.0,0.0,14.7,2.3,3.6,2.0,3.1,4.8,8.2,0.0,10.7,0.0,6.4,0.0,14.7,0.0,10.7,3.1,3.8,7.4,9.0,0.0,10.7,(X),(X),25781,13708,19115,2314,28472,5957,36887,13542,22524,3872,17167,1606,17795,8364,16938,1440,20677,12034,10909,28731,21406,8526,17555,9499,17587,9397,17250,14575,16769,1777,40833,33640,16347,1602,-,**,-,**,-,**,-,**,-,**,-,**,22.0,(X),(X),(X),(X),(X)
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",2177,265,946,170,1231,179,24779,3657,25938,4325,23324,5279,1295,204,616,145,679,137,0.6,0.8,0.0,4.7,1.2,1.6,5.2,4.1,8.4,7.5,2.2,3.4,17.7,7.7,18.7,10.2,16.8,10.2,33.4,9.0,30.2,13.1,36.2,10.7,21.1,7.3,16.6,10.7,25.2,9.0,10.3,4.7,11.9,7.9,9.0,5.9,3.6,3.6,3.1,3.5,4.0,5.8,2.9,3.1,4.2,5.9,1.6,2.6,5.3,5.6,7.0,6.6,3.8,5.1,(X),(X),32606,6682,33623,2987,40635,5823,41831,7303,39551,5682,27821,2710,29707,5234,25907,4613,26786,10007,28750,8540,13750,25238,25709,4911,26438,4808,24750,9053,25625,7326,34531,27549,23566,6635,50893,23486,81731,48020,38750,10920,41500,32043,68750,103572,40625,46030,31.8,(X),(X),(X),(X),(X)
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",633,117,199,82,434,85,17114,6614,9977,15116,20625,7422,328,89,121,65,207,60,9.5,11.4,19.8,27.9,3.4,5.3,4.0,3.6,0.0,21.7,6.3,5.5,36.0,13.8,41.3,21.7,32.9,14.9,24.7,12.8,19.0,19.8,28.0,18.4,14.6,9.2,0.0,21.7,23.2,14.3,4.9,5.4,9.1,14.6,2.4,4.0,1.2,2.0,0.0,21.7,1.9,3.2,4.0,6.1,10.7,17.6,0.0,13.5,1.2,1.9,0.0,21.7,1.9,2.9,(X),(X),23795,6542,30039,8221,30303,5581,29980,14003,30492,4206,22411,8369,17222,12046,22957,5039,9583,10554,15139,11409,8125,14033,26339,4272,23375,21109,31641,4960,13542,13786,-,**,13542,14392,55556,28730,-,**,-,**,-,**,-,**,-,**,22.7,(X),(X),(X),(X),(X)
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1237,213,551,152,686,129,19498,5455,17699,6983,23750,11461,654,145,251,103,403,98,0.0,4.5,0.0,11.3,0.0,7.2,4.3,5.8,10.8,14.7,0.2,1.3,19.1,10.0,13.5,12.9,22.6,14.0,31.7,12.3,24.7,18.3,36.0,16.9,17.9,8.1,10.4,10.7,22.6,13.7,11.3,8.9,17.1,17.7,7.7,9.9,4.9,4.8,3.6,5.9,5.7,6.8,10.9,7.9,19.9,17.3,5.2,5.8,0.0,4.5,0.0,11.3,0.0,7.2,(X),(X),35781,24591,33695,2384,41192,5914,46292,11433,38015,5699,20857,10773,18835,8057,26098,11688,32222,14491,29500,37909,33393,18603,19696,9637,31731,17106,18640,2852,16875,17751,11716,1782,30625,12855,17596,35978,-,**,19038,49218,61131,35624,-,**,-,**,21.1,(X),(X),(X),(X),(X)
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",1070,190,467,94,603,150,19844,6593,26726,12899,19003,2683,564,115,239,65,325,105,2.1,2.6,0.0,11.8,3.7,4.4,3.5,3.9,2.9,4.4,4.0,5.4,17.9,9.0,7.5,10.4,25.5,14.5,25.7,11.7,23.8,15.4,27.1,14.3,25.0,11.1,31.8,19.3,20.0,12.4,7.1,5.8,10.5,12.2,4.6,5.0,5.5,4.6,2.1,3.7,8.0,8.0,7.1,5.9,7.1,11.1,7.1,7.6,6.0,8.0,14.2,18.3,0.0,8.8,(X),(X),41688,11039,30950,6821,41563,7572,50909,15244,34689,6243,27270,5659,33462,9646,22604,9334,14844,10420,-,**,13906,6045,18630,3355,25655,15065,17500,3021,33500,8118,38036,13280,33250,9500,36042,33209,47750,29008,25208,37451,112904,90261,-,**,50694,37358,19.9,(X),(X),(X),(X),(X)
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",858,177,376,106,482,157,23384,3182,30134,9430,21591,11185,505,146,300,98,205,93,1.0,1.8,0.0,9.5,2.4,4.4,10.7,8.8,12.7,11.9,7.8,12.7,22.4,7.6,19.0,12.2,27.3,17.0,34.3,13.9,29.7,16.4,41.0,24.9,12.5,8.9,21.0,15.3,0.0,13.6,12.1,9.0,7.3,8.9,19.0,17.7,5.0,7.7,8.3,12.3,0.0,13.6,1.0,1.8,0.0,9.5,2.4,4.4,1.2,1.7,2.0,2.8,0.0,13.6,(X),(X),31830,3184,26226,1951,34822,5355,36945,6458,31716,8056,24428,2779,30469,7611,23145,5509,30417,38451,-,**,-,**,23309,12524,27232,10854,12039,3949,24254,4857,30066,17815,24234,2220,24417,50832,24833,90809,11458,18419,46250,61261,15750,106614,62917,56941,24.6,(X),(X),(X),(X),(X)
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",918,204,465,145,453,117,20610,6664,20972,7459,20432,13641,525,169,330,115,195,92,5.9,7.3,9.4,11.4,0.0,14.2,8.6,9.9,13.6,15.7,0.0,14.2,23.6,15.8,25.2,20.7,21.0,20.5,33.0,14.4,31.5,21.6,35.4,25.4,17.5,13.6,16.1,14.1,20.0,21.0,8.8,9.3,0.0,8.7,23.6,24.5,2.7,3.5,4.2,5.8,0.0,14.2,0.0,5.6,0.0,8.7,0.0,14.2,0.0,5.6,0.0,8.7,0.0,14.2,(X),(X),27783,8383,31773,9355,30649,3770,27891,4208,35316,5860,22058,4452,23914,7698,20864,11170,10664,8249,"2,500-",***,10664,6227,22829,5715,24671,8242,13833,17793,17396,8412,16701,3037,22639,18380,30494,1686,-,**,30494,1686,41708,14502,-,**,53264,58798,17.5,(X),(X),(X),(X),(X)
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1513,234,687,153,826,175,23309,6150,20323,3397,26311,4734,855,187,374,120,481,136,1.4,2.3,0.0,7.7,2.5,4.1,3.9,3.7,0.0,7.7,6.9,6.4,23.9,10.1,25.4,16.4,22.7,13.1,27.4,10.4,27.5,14.2,27.2,18.5,17.8,9.5,9.4,12.0,24.3,14.7,5.4,5.4,6.7,10.4,4.4,5.2,8.8,7.2,13.1,13.2,5.4,5.3,6.3,5.6,11.2,12.2,2.5,3.8,5.3,6.1,6.7,7.6,4.2,5.5,(X),(X),34257,12219,33206,8262,40555,5619,45937,8363,36371,6138,25948,3693,22328,7034,26677,3329,26389,12166,-,**,26250,10300,21523,2781,21207,1921,22007,6784,25957,13619,13750,27698,32857,14310,28966,14407,60850,44834,26042,11757,66607,31400,-,**,65536,24004,32.1,(X),(X),(X),(X),(X)
