GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US01073000100,01073000100,"Census Tract 1, Jefferson County, Alabama",2970,376,523,168,2332,387,0,11,0,11,0,11,115,119,0,11,0,11,0,11
1400000US01073000300,01073000300,"Census Tract 3, Jefferson County, Alabama",2494,479,501,365,1676,325,31,39,209,188,0,11,47,76,30,40,0,11,30,40
1400000US01073000400,01073000400,"Census Tract 4, Jefferson County, Alabama",3437,406,281,108,3120,412,0,11,0,11,0,11,16,25,20,22,0,11,20,22
1400000US01073000500,01073000500,"Census Tract 5, Jefferson County, Alabama",3735,553,219,260,3468,608,18,29,0,11,0,11,0,11,30,42,0,11,30,42
1400000US01073000700,01073000700,"Census Tract 7, Jefferson County, Alabama",2562,328,0,11,2502,338,0,11,0,11,0,11,12,20,48,79,48,79,0,11
1400000US01073000800,01073000800,"Census Tract 8, Jefferson County, Alabama",4039,450,61,52,3880,445,0,11,0,11,0,11,78,96,20,34,0,11,20,34
1400000US01073001100,01073001100,"Census Tract 11, Jefferson County, Alabama",4813,602,71,67,4727,613,0,11,15,27,0,11,0,11,0,11,0,11,0,11
1400000US01073001200,01073001200,"Census Tract 12, Jefferson County, Alabama",2978,475,225,194,2639,413,0,11,0,11,0,11,108,135,6,14,0,11,6,14
1400000US01073001400,01073001400,"Census Tract 14, Jefferson County, Alabama",2125,290,71,76,2050,307,4,6,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073001500,01073001500,"Census Tract 15, Jefferson County, Alabama",2917,382,110,86,2756,390,0,11,0,11,0,11,0,11,51,62,0,11,51,62
1400000US01073001600,01073001600,"Census Tract 16, Jefferson County, Alabama",3722,710,496,292,3018,588,10,16,35,53,0,11,102,112,61,64,0,11,61,64
1400000US01073001902,01073001902,"Census Tract 19.02, Jefferson County, Alabama",1924,225,171,107,1646,242,5,11,0,11,0,11,102,99,0,11,0,11,0,11
1400000US01073002000,01073002000,"Census Tract 20, Jefferson County, Alabama",3651,421,850,269,2772,337,0,11,0,11,0,11,0,11,29,44,0,11,29,44
1400000US01073002100,01073002100,"Census Tract 21, Jefferson County, Alabama",2656,513,532,183,2124,445,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073002200,01073002200,"Census Tract 22, Jefferson County, Alabama",2662,344,202,74,2442,329,0,11,0,11,0,11,11,19,7,10,0,11,7,10
1400000US01073002303,01073002303,"Census Tract 23.03, Jefferson County, Alabama",3902,437,59,45,3742,422,0,11,0,11,9,15,0,11,92,142,0,11,92,142
1400000US01073002305,01073002305,"Census Tract 23.05, Jefferson County, Alabama",3050,261,2263,223,754,238,13,21,11,16,0,11,0,11,9,13,0,11,9,13
1400000US01073002306,01073002306,"Census Tract 23.06, Jefferson County, Alabama",3849,284,2640,236,985,241,26,43,82,96,0,11,85,83,31,32,0,11,31,32
1400000US01073002400,01073002400,"Census Tract 24, Jefferson County, Alabama",3698,413,1200,389,2405,441,0,11,0,11,0,11,44,54,49,49,13,21,36,46
1400000US01073002700,01073002700,"Census Tract 27, Jefferson County, Alabama",3816,394,1709,262,1973,295,10,20,61,86,0,11,27,31,36,30,0,11,36,30
1400000US01073002900,01073002900,"Census Tract 29, Jefferson County, Alabama",2062,300,27,44,2013,303,0,11,0,11,0,11,0,11,22,33,22,33,0,11
1400000US01073003001,01073003001,"Census Tract 30.01, Jefferson County, Alabama",3208,415,905,249,2196,317,3,9,56,46,0,11,8,18,40,29,0,11,40,29
1400000US01073003002,01073003002,"Census Tract 30.02, Jefferson County, Alabama",2699,283,141,173,2550,272,8,12,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073003100,01073003100,"Census Tract 31, Jefferson County, Alabama",3550,518,112,124,3417,513,0,11,0,11,0,11,0,11,21,32,21,32,0,11
1400000US01073003200,01073003200,"Census Tract 32, Jefferson County, Alabama",1122,185,95,100,1027,185,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073003300,01073003300,"Census Tract 33, Jefferson County, Alabama",970,191,1,3,969,191,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073003400,01073003400,"Census Tract 34, Jefferson County, Alabama",2420,381,223,137,2192,340,0,11,0,11,0,11,0,11,5,9,5,9,0,11
1400000US01073003500,01073003500,"Census Tract 35, Jefferson County, Alabama",2908,482,281,115,2616,488,0,11,0,11,0,11,0,11,11,17,0,11,11,17
1400000US01073003600,01073003600,"Census Tract 36, Jefferson County, Alabama",4136,457,224,94,3912,458,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073003700,01073003700,"Census Tract 37, Jefferson County, Alabama",4627,410,153,70,4239,357,15,24,0,11,0,11,137,215,83,119,0,11,83,119
1400000US01073003802,01073003802,"Census Tract 38.02, Jefferson County, Alabama",5693,535,369,163,5314,569,0,16,0,16,0,16,0,16,10,16,0,16,10,16
1400000US01073003803,01073003803,"Census Tract 38.03, Jefferson County, Alabama",3555,452,95,62,3460,459,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073003900,01073003900,"Census Tract 39, Jefferson County, Alabama",1664,243,99,123,1565,230,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US01073004000,01073004000,"Census Tract 40, Jefferson County, Alabama",3544,345,48,52,3481,350,0,11,15,25,0,11,0,11,0,11,0,11,0,11
1400000US01073004200,01073004200,"Census Tract 42, Jefferson County, Alabama",2345,309,48,21,2284,313,0,11,0,11,0,11,4,8,9,11,3,7,6,9
1400000US01073004500,01073004500,"Census Tract 45, Jefferson County, Alabama",4231,453,1697,202,2102,433,8,17,302,101,0,11,53,80,69,71,0,11,69,71
1400000US01073004701,01073004701,"Census Tract 47.01, Jefferson County, Alabama",3839,535,3445,579,178,92,26,38,178,89,0,11,12,19,0,11,0,11,0,11
1400000US01073004702,01073004702,"Census Tract 47.02, Jefferson County, Alabama",3314,334,3002,292,260,253,0,11,8,13,0,11,20,28,24,26,11,17,13,20
1400000US01073004800,01073004800,"Census Tract 48, Jefferson County, Alabama",2015,240,1780,226,147,74,0,11,46,44,0,11,8,12,34,39,0,11,34,39
1400000US01073004901,01073004901,"Census Tract 49.01, Jefferson County, Alabama",1090,130,817,121,163,90,0,11,90,65,0,11,17,23,3,7,3,7,0,11
1400000US01073004902,01073004902,"Census Tract 49.02, Jefferson County, Alabama",3135,380,2271,349,419,158,55,85,257,140,22,35,84,84,27,32,27,32,0,11
1400000US01073005000,01073005000,"Census Tract 50, Jefferson County, Alabama",3319,335,2059,298,664,230,34,51,95,70,0,11,407,256,60,46,0,11,60,46
1400000US01073005101,01073005101,"Census Tract 51.01, Jefferson County, Alabama",1896,274,8,9,1860,276,0,11,0,11,0,11,21,36,7,9,0,11,7,9
1400000US01073005103,01073005103,"Census Tract 51.03, Jefferson County, Alabama",2975,397,540,406,2211,344,27,42,0,11,0,11,186,158,11,18,0,11,11,18
