Neighborhood,abbr,sc_abbr,life_expectancy
Algonquin-Park Hill-Park Duvalle,A-PH-PD,A - PH - PD,71.5
Buechel-Newburg-Indian Trail,Buechel Newburg Indian Trail ,B - N - IT,75.6
Butchertown-Clifton-Crescent Hill,B-C-CH,B - C - CH,76.4
California-Parkland,C-P,C - P,67.8
Chickasaw-Shawnee,C-S,C - S,73.4
Downtown-Old Louisville-University,OL,D - OL - U,73.2
Fairdale,Fairdale,F,74.8
Fern Creek,Fern Creek,FC,80.7
Floyd's Fork,Floyd's Fork,FF,81.5
Germantown,Germantown,G,72.5
Highlands,Highlands,H,80.3
Highview-Okolona,Highview Okolona,H - O,77.8
J-Town,J-Town,JT,82
Northeast Jefferson,NE Jefferson,NEJ,82.4
Phoenix Hill-Smoketown-Shelby Park,PH,PH - S - SP,69.4
Pleasure Ridge Park,Pleasure Ridge Park,PRP,77
Portland,Portland,P,68.3
Russell,Russell,R,69.5
Shively,Shively,Sh,74.5
South Central Louisville,SC Louisville,SCL,71.5
South Louisville,S Louisville,SL,76.2
Southeast Louisville,SE Louisville,SEL,79
St. Matthews,St. Matthews,StM,83.6
Valley Station,Valley Station,VS,76.2
