,census_tract,Neighborhood,population,poverty_z_score,mpi_score,no_hs_degree,low_income,children_low_income,bachelors_degree,percent_black,unemployed,uninsured,median_earnings
1,1400000US21111003000,Russell,3215,2.801641733,-2.801641733,31.7037037,96.00249844,100,1.407407407,89.97330169,39.6,22.6,7707
2,1400000US21111002100,Portland,2246,2.613184842,-2.613184842,45.91406908,72.90178571,87.84893268,4.212299916,23.95369546,27.5,26.3,17234
3,1400000US21111011901,Fairdale,1510,1.939507515,-1.939507515,26.07879925,67.1875,81.48760331,7.317073171,0,14,37.9,18683
4,1400000US21111002300,Portland,2614,1.912757905,-1.912757905,30.10510511,72.87529786,85.18024032,4.804804805,31.25478194,20.8,25.5,17724
5,1400000US21111005600,South Louisville,4518,1.886977112,-1.886977112,38.54317414,57.29490022,66.48389308,7.766521949,25.71934484,14.9,29.5,18417
6,1400000US21111000600,Russell,1640,1.885280302,-1.885280302,22.45706737,60.57036578,76.6848816,5.812417437,91.95121951,31,25.1,17114
7,1400000US21111005000,Downtown-Old Louisville-University,1688,1.869858746,-1.869858746,22.90362954,68.02928615,96.90721649,10.01251564,52.81767956,31,21.7,14395
8,1400000US21111004301,South Central Louisville,4544,1.835404561,-1.835404561,22.37318841,65.83809943,70.93791281,6.114130435,60.10464356,27.4,25.4,17059
9,1400000US21111003500,Algonquin-Park Hill-Park Duvalle,4711,1.826334223,-1.826334223,37.21153846,83.29137823,91.32893497,7.403846154,50.41858518,18.5,16.2,5086
10,1400000US21111004000,South Central Louisville,1820,1.787968982,-1.787968982,29.21348315,47.69230769,58.44504021,5.790838375,19.94505495,23.5,29,20614
11,1400000US21111006500,Phoenix Hill-Smoketown-Shelby Park,3099,1.660071676,-1.660071676,34.42720764,64.48264677,81.1261731,10.62052506,54.14649887,19.6,19.3,20833
12,1400000US21111000200,Portland,2561,1.594971961,-1.594971961,26.95652174,58.609918,75.38265306,1.872909699,20.63037249,22.5,22.5,17115
13,1400000US21111005900,Phoenix Hill-Smoketown-Shelby Park,3925,1.593188121,-1.593188121,20.21839841,67.85437645,79.65779468,19.3911317,57.21359442,26.5,20.5,16788
14,1400000US21111002400,Russell,5175,1.583741675,-1.583741675,20.75789474,63.78743961,74.82108003,7.157894737,88.8115942,27.7,20.1,16250
15,1400000US21111006200,Phoenix Hill-Smoketown-Shelby Park,1837,1.547730066,-1.547730066,14.02763018,77.51769189,92.75862069,14.02763018,78.16404128,24.1,22.9,18510
16,1400000US21111002800,Algonquin-Park Hill-Park Duvalle,1716,1.490460861,-1.490460861,23.21253673,55.45079552,57.36842105,6.366307542,79.42890443,17,28.9,19000
17,1400000US21111012802,South Central Louisville,2681,1.447121877,-1.447121877,22.77814352,48.19097352,68.45549738,12.96905859,60.79820962,20.1,27.6,23995
18,1400000US21111003700,South Central Louisville,1675,1.390983674,-1.390983674,20.02275313,46.29171817,55.90551181,6.939704209,33.09608541,30.8,18.5,19531
19,1400000US21111009103,South Louisville,1695,1.378634629,-1.378634629,31.39784946,36.81415929,57.63888889,6.774193548,23.89380531,20.1,23.1,25028
20,1400000US21111001700,California-Parkland,2126,1.343512803,-1.343512803,17.44075829,48.40075259,56.20300752,5.213270142,92.52116651,24.4,24.6,15930
21,1400000US21111003600,South Central Louisville,5631,1.32395259,-1.32395259,18.06886759,54.19996448,78.77389585,11.0401136,47.45160717,23.5,22.4,20320
22,1400000US21111003900,South Central Louisville,3873,1.302444399,-1.302444399,24.43396226,51.6395559,79.45544554,6.273584906,33.53989156,14.2,26.8,24588
23,1400000US21111000300,Portland,2299,1.28598853,-1.28598853,27.99717913,46.88995215,74.76190476,3.596614951,55.76337538,20.4,19.3,16333
24,1400000US21111001800,California-Parkland,1540,1.268943539,-1.268943539,16.06022585,69.80519481,90.81632653,9.661229611,90,20.2,20.1,14362
